"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"4926","0",12,12,2.36,40,2250,18000,3,89,10,49,46,8,120,75,"0",53.4220532319392,"1",0,0,"1"
"4927","1",12,12,1.92,45,2250,18000,3,89,10,49,46,8,120,75,"0",25.8490566037736,"0",0,57300,"3"
"4948","0",6,9,3.52173913043478,1,1616,29370,27,82,10,49,59,4,106,38,"0",96.5454545454545,"1",1,45000,"2"
"4949","1",6,9,2.29166666666667,12,2161,22000,12,87,16,50,36,5,99,52,"0",37.1428571428571,"1",0,64000,"1"
"4965","0",12,12,2.8,50,2042,13000,2,95,14,50,50,7,92,80,"0",38.6221294363257,"0",1,10000,"2"
"4987","0",17,16,2.8125,7,922,15000,31,95,10,50,63,3,51,73,"0",63.8132295719844,"1",3,48000,"4"
"5006","1",8,6,2.92,52,1323,47883,50,88,8,47,57,3,73,28,"1",67.7902621722846,"1",2,61826,"1"
"5034","0",12,13,1.77272727272727,52,1071,10984,5,95,3,48,50,4,58,35,"0",7.17131474103586,"1",2,55000,"2"
"5038","0",17,15,2.04,24,375,12000,0,85,0,40,35,1,34,50,"0",26.7605633802817,"1",0,85000,"3"
"5040","0",12,14,2.88888888888889,47,1445,18000,30,88,15,52,51,4,71,77,"0",58.5820895522388,"1",2,25000,"1"
"5054","1",20,20,3.57142857142857,50,1638,17000,15,90,20,50,48,6,69,60,"0",88.9830508474576,"0",0,59000,"3"
"5071","0",12,12,2.47826086956522,37,1694,18000,14,92,20,52,60,4,82,15,"0",72.0634920634921,"1",2,24000,"1"
"5072","1",12,12,3.27272727272727,55,1694,18000,14,92,20,52,60,4,82,15,"0",81.8421052631579,"1",4,100000,"1"
"5087","1",16,14,3.54166666666667,78,1350,14000,19,88,22,55,57,3,58,5,"0",85.171102661597,"1",2,70000,"3"
"5104","1",11,12,3.5,18,1330,11000,50,90,20,33,67,3,75,20,"0",98.050139275766,"1",1,120000,"3"
"5117","0",12,4,2.9375,31,660,8401,24,92,99,52,66,2,49,28,"1",52.0089285714286,"1",1,35000,"1"
